ID,Title,Price,Brand,Rating,Reviews,Material,Color,AssemblyNeeded,MadeIn,Warranty Days,Image,Category/Class
24261905,Melody Expandable Twin-to-King Trundle Daybed with 2 Storage Drawers,395.64 EUR,No Info,4.1,986,Wood,"Brown,
Grey,
White",Yes,Brazil,365,https://ak1.ostkcdn.com/images/products/is/images/direct/cd8ba386ccad43b7763a2ca482501ee073377d6b/Melody-Expandable-Twin-to-King-Trundle-Daybed-with-Storage-Drawers.jpg,HomeItem/Furniture/BedroomFurniture/Bed/AdultBed
19754621,Barnes Dark Bronze Victorian Metal Bed by iNSPIRE Q Classicby iNSPIRE Q,596.24 EUR,iNSPIRE Q,4.7,149,Metal,"Black,
Brown",Yes,China,90,https://ak1.ostkcdn.com/images/products/13011828/TRIBECCA-HOME-Barnes-Dark-Bronze-Victorian-Metal-Bed-662edff6-c283-4caa-b41d-01fda830a844_600.jpg,HomeItem/Furniture/BedroomFurniture/Bed/AdultBed
40905610,"Mixoy Bed Frame with Upholstered Wingback Headboard, Platform Bed Frame Full with Wooden Slats Support/No Box Spring",202.80 EUR,No Info,1.0,1,Upholstered,"Beige,
Grey",Yes,China,0,https://ak1.ostkcdn.com/images/products/is/images/direct/43095bd76b2e0bb67097a5ad02de1a7bd6e4bbb8/Mixoy-Bed-Frame-with-Upholstered-Wingback-Headboard%2C-Platform-Bed-Frame-Full-with-Wooden-Slats-Support-No-Box-Spring.jpg,HomeItem/Furniture/BedroomFurniture/Bed/AdultBed
18593345,Priage by ZINUS Black Metal Platform Bed Frame w/ Headboardby Zinus,219.38 EUR,Zinus,4.6,830,Metal,Black,No,China,1825,https://ak1.ostkcdn.com/images/products/is/images/direct/54a26adc5714a0ba173468109b4bc5a65b58d0ea/Priage-by-ZINUS-Black-Metal-Platform-Bed-Frame-with-Headboard.jpg,HomeItem/Furniture/BedroomFurniture/Bed/AdultBed
35014470,Copper Grove Enzers Upholstered Button-tufted Panel Bedby Copper Grove,360.84 EUR,Copper Grove,4.5,146,Wood,"Beige,
Grey",Yes,Malaysia,30,https://ak1.ostkcdn.com/images/products/30126770/Copper-Grove-Enzers-Upholstered-Button-tufted-Panel-Bed-ecf31b07-cd6f-4cdb-a2eb-a9eb28bce3e5_600.jpg,HomeItem/Furniture/BedroomFurniture/Bed/AdultBed
38194690,Priage by ZINUS Mid Century Wood Platform Bed Frameby Zinus,353.58 EUR,Zinus,4.9,51,Wood,Brown,Yes,Vietnam,1825,https://ak1.ostkcdn.com/images/products/is/images/direct/a33b7be5379510cdf606cd0c782ec6b800256e6d/Priage-by-ZINUS-Mid-Century-Wood-Platform-Bed-Frame.jpg,HomeItem/Furniture/BedroomFurniture/Bed/AdultBed
28814971,Antoinette Traditional Upholstered Queen Bed by Christopher Knight Homeby Christopher Knight Home,390.89 EUR,Christopher Knight Home,4.2,94,Upholstered,"Black,
Blue,
Grey",Yes,China,90,https://ak1.ostkcdn.com/images/products/is/images/direct/0f80c8ce28ce4294fd520a17292f0789628e1f8c/Antoinette-Traditional-Fully-Upholstered-Queen-Size-Bed-Frame-by-Christopher-Knight-Home.jpg,HomeItem/Furniture/BedroomFurniture/Bed/AdultBed
23110834,Boyd Sleep Florence Faux Leather Upholstered Bed Frame with Headboard,179.48 EUR,No Info,4.3,232,Upholstered,"Black,
Blue,
Grey,
Red,
White",Yes,Malaysia,365,https://ak1.ostkcdn.com/images/products/is/images/direct/01d1bd43825a9bae7bdef75caaf2764277df26e5/Sleep-Sync-Zander-Padded-Upholstered-Leather-Bed-4-colors.jpg,HomeItem/Furniture/BedroomFurniture/Bed/AdultBed
29017309,Priage by ZINUS Metal Canopy Platform Bed Frameby Zinus,192.16 EUR,Zinus,4.8,105,Metal,"Gold,
White",Yes,China,1825,https://ak1.ostkcdn.com/images/products/is/images/direct/5a2147e58896ea415b4a65e5f56e4f90d15cfaef/Priage-by-Zinus-Metal-Framed-Canopy-Four-Poster-Platform-Bed-Frame.jpg,HomeItem/Furniture/BedroomFurniture/Bed/AdultBed
40107519,"Twin/Full/Queen Size Platform Bed Frame,Easy Set up",105.92 EUR,No Info,5.0,1,Metal,Black,Yes,China,1095,https://ak1.ostkcdn.com/images/products/is/images/direct/bab4a6cf940ed32f54d0517456a19b13e0522cb3/Twin-Full-Queen-Size-Platform-Bed-Frame%2CEasy-Set-up.jpg,HomeItem/Furniture/BedroomFurniture/Bed/AdultBed
41131540,CraftPorch Luxurious Velvet Wingback Tufted Upholstered Bedby CraftPorch,178.81 EUR,CraftPorch,0,0,Upholstered,"Black,
Blue,
Grey,
Pink",Yes,Malaysia,90,https://ak1.ostkcdn.com/images/products/is/images/direct/3f39885227d5edbcd97f52128bceef22f81ab1d8/CraftPorch-Luxurious-Velvet-Wingback-Tufted-Upholstered-Bed.jpg,HomeItem/Furniture/BedroomFurniture/Bed/AdultBed
12667946,LeAnn Graceful Scroll Bronze Finish Iron Bed by iNSPIRE Q Classicby iNSPIRE Q,349.81 EUR,iNSPIRE Q,4.6,2596,Metal,Brown,Yes,China,90,https://ak1.ostkcdn.com/images/products/4765274/LeAnn-Graceful-Scroll-Bronze-Iron-Bed-by-iNSPIRE-Q-Classic-374b534d-c4fd-4815-bd08-9b99d4c5c9b2_600.jpg,HomeItem/Furniture/BedroomFurniture/Bed/AdultBed
40766019,Rustic Brown Queen Bed Frame with LED Lights and 2 USB Ports,302.12 EUR,No Info,0,0,Metal,Brown,No,China,30,https://ak1.ostkcdn.com/images/products/is/images/direct/a6f4135a98880c4e311cad6c8d4b656f2e8d43bd/Rustic-Brown-Queen-Bed-Frame-with-LED-Lights-and-2-USB-Ports.jpg,HomeItem/Furniture/BedroomFurniture/Bed/AdultBed
30746819,Hughes Mid-century Modern Wood Platform Bedby DG Casa,820.98 EUR,DG Casa,4.4,147,"Upholstered,
Wood","Beige,
Brown,
Grey,
Khaki,
Orange,
Yellow",Yes,Malaysia,365,https://ak1.ostkcdn.com/images/products/is/images/direct/cba20c223616523d7c3c3c3ec1672f30da4d04fe/Hughes-Mid-century-Tufted-Platform-Bed.jpg,HomeItem/Furniture/BedroomFurniture/Bed/AdultBed
